,predicted_mean
2025-02-24,-7.5e-322
2025-02-25,-7.5e-322
2025-02-26,-7.5e-322
2025-02-27,-7.5e-322
2025-02-28,-7.5e-322
2025-03-01,-7.5e-322
2025-03-02,-7.5e-322
2025-03-03,-7.5e-322
2025-03-04,-7.5e-322
2025-03-05,-7.5e-322
2025-03-06,-7.5e-322
2025-03-07,-7.5e-322
2025-03-08,-7.5e-322
2025-03-09,-7.5e-322
2025-03-10,-7.5e-322
2025-03-11,-7.5e-322
2025-03-12,-7.5e-322
2025-03-13,-7.5e-322
2025-03-14,-7.5e-322
2025-03-15,-7.5e-322
2025-03-16,-7.5e-322
2025-03-17,-7.5e-322
2025-03-18,-7.5e-322
2025-03-19,-7.5e-322
2025-03-20,-7.5e-322
2025-03-21,-7.5e-322
2025-03-22,-7.5e-322
2025-03-23,-7.5e-322
2025-03-24,-7.5e-322
2025-03-25,-7.5e-322
