,predicted_mean
2025-02-24,5.888765
2025-02-25,5.888765
2025-02-26,5.888765
2025-02-27,5.888765
2025-02-28,5.888765
2025-03-01,5.888765
2025-03-02,5.888765
2025-03-03,5.888765
2025-03-04,5.888765
2025-03-05,5.888765
2025-03-06,5.888765
2025-03-07,5.888765
2025-03-08,5.888765
2025-03-09,5.888765
2025-03-10,5.888765
2025-03-11,5.888765
2025-03-12,5.888765
2025-03-13,5.888765
2025-03-14,5.888765
2025-03-15,5.888765
2025-03-16,5.888765
2025-03-17,5.888765
2025-03-18,5.888765
2025-03-19,5.888765
2025-03-20,5.888765
2025-03-21,5.888765
2025-03-22,5.888765
2025-03-23,5.888765
2025-03-24,5.888765
2025-03-25,5.888765
